originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2013,regionflow_2014,countryflow_2013,countryflow_2014
1,America,1,America,CUB,Cuba,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,CUB,Cuba,VEN,Venezuela,0,0,0,0
1,America,1,America,ECU,Ecuador,BRA,Brazil,0,0,0,0
1,America,1,America,ECU,Ecuador,CAN,Canada,0,0,0,0
1,America,1,America,ECU,Ecuador,COL,Colombia,688,0,688,0
1,America,1,America,ECU,Ecuador,CRI,Costa Rica,0,0,0,0
1,America,1,America,ECU,Ecuador,CUB,Cuba,0,0,0,0
1,America,1,America,ECU,Ecuador,ECU,Ecuador,0,0,0,0
1,America,1,America,ECU,Ecuador,GTM,Guatemala,0,0,0,0
1,America,1,America,ECU,Ecuador,HND,Honduras,0,0,0,0
1,America,1,America,ECU,Ecuador,HTI,Haiti,0,0,0,0
1,America,1,America,ECU,Ecuador,MEX,Mexico,0,0,0,0
1,America,1,America,ECU,Ecuador,PAN,Panama,0,0,0,0
1,America,1,America,ECU,Ecuador,PER,Peru,0,0,0,0
1,America,1,America,ECU,Ecuador,SLV,El Salvador,0,0,0,0
1,America,1,America,ECU,Ecuador,USA,United States,0,0,0,0
1,America,1,America,ECU,Ecuador,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,ECU,Ecuador,VEN,Venezuela,0,0,0,0
1,America,1,America,GTM,Guatemala,BRA,Brazil,0,0,0,0
1,America,1,America,GTM,Guatemala,CAN,Canada,0,0,0,0
1,America,1,America,GTM,Guatemala,COL,Colombia,0,0,0,0
1,America,1,America,GTM,Guatemala,CRI,Costa Rica,0,0,0,0
1,America,1,America,GTM,Guatemala,CUB,Cuba,0,0,0,0
1,America,1,America,GTM,Guatemala,ECU,Ecuador,0,0,0,0
1,America,1,America,GTM,Guatemala,GTM,Guatemala,0,0,0,0
1,America,1,America,GTM,Guatemala,HND,Honduras,0,0,0,0
1,America,1,America,GTM,Guatemala,HTI,Haiti,0,0,0,0
1,America,1,America,GTM,Guatemala,MEX,Mexico,0,0,0,0
1,America,1,America,GTM,Guatemala,PAN,Panama,0,0,0,0
1,America,1,America,GTM,Guatemala,PER,Peru,0,0,0,0
1,America,1,America,GTM,Guatemala,SLV,El Salvador,0,0,0,0
1,America,1,America,GTM,Guatemala,USA,United States,118,806,118,806
1,America,1,America,GTM,Guatemala,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,GTM,Guatemala,VEN,Venezuela,0,0,0,0
1,America,1,America,HND,Honduras,BRA,Brazil,0,0,0,0
1,America,1,America,HND,Honduras,CAN,Canada,0,0,0,0
1,America,1,America,HND,Honduras,COL,Colombia,0,0,0,0
1,America,1,America,HND,Honduras,CRI,Costa Rica,0,0,0,0
1,America,1,America,HND,Honduras,CUB,Cuba,0,0,0,0
1,America,1,America,HND,Honduras,ECU,Ecuador,0,0,0,0
1,America,1,America,HND,Honduras,GTM,Guatemala,0,0,0,0
1,America,1,America,HND,Honduras,HND,Honduras,0,0,0,0
1,America,1,America,HND,Honduras,HTI,Haiti,0,0,0,0
1,America,1,America,HND,Honduras,MEX,Mexico,0,0,0,0
1,America,1,America,HND,Honduras,PAN,Panama,0,0,0,0
1,America,1,America,HND,Honduras,PER,Peru,0,0,0,0
1,America,1,America,HND,Honduras,SLV,El Salvador,0,0,0,0
1,America,1,America,HND,Honduras,USA,United States,0,675,0,675
1,America,1,America,HND,Honduras,VCT,Saint Vincent & Grenadines,0,0,0,0
1,America,1,America,HND,Honduras,VEN,Venezuela,0,0,0,0
1,America,1,America,HTI,Haiti,BRA,Brazil,0,0,0,0
1,America,1,America,HTI,Haiti,CAN,Canada,1074,550,1074,550
1,America,1,America,HTI,Haiti,COL,Colombia,0,0,0,0
1,America,1,America,HTI,Haiti,CRI,Costa Rica,0,0,0,0
1,America,1,America,HTI,Haiti,CUB,Cuba,0,0,0,0
1,America,1,America,HTI,Haiti,ECU,Ecuador,0,0,0,0
1,America,1,America,HTI,Haiti,GTM,Guatemala,0,0,0,0
